Company Name,Symbol,Short % of Float,Record Date
AirSculpt Technologies Inc. - Common Stock,AIRS,24.6,2023-01-11
Allogene Therapeutics Inc,ALLO,41.77,2023-01-11
ALX Oncology Holdings Inc. - Common Stock,ALXO,23.69,2023-01-11
Amyris Inc,AMRS,20.18,2023-01-11
Aemetis Inc,AMTX,22.45,2023-01-11
Anaptysbio Inc,ANAB,20.57,2023-01-11
AppHarvest Inc. - Common Stock,APPH,23.85,2023-01-11
Blue Apron Holdings Inc Class A,APRN,50.97,2023-01-11
Arcutis Biotherapeutics Inc. - Common stock,ARQT,24.7,2023-01-11
Arrival - Ordinary Shares,ARVL,22.85,2023-01-11
AST SpaceMobile Inc. - Class A Common Stock,ASTS,26.29,2023-01-11
180 Life Sciences Corp. - Common Stock,ATNF,31.2,2023-01-11
Avaya Holdings Corp,AVYA,25.3,2023-01-11
Axsome Therapeutics Inc,AXSM,21.32,2023-01-11
Bed Bath & Beyond Inc,BBBY,50.28,2023-01-11
Beam Therapeutics Inc. - Common Stock,BEAM,20.7,2023-01-11
Beam Global - Common Stock,BEEM,20.81,2023-01-11
Big 5 Sporting Goods Corporation,BGFV,21.06,2023-01-11
Big Lots Inc,BIG,30.29,2023-01-11
Bakkt Holdings Inc. Class A Common Stock,BKKT,21.73,2023-01-11
Blink Charging CO,BLNK,32.33,2023-01-11
Dutch Bros Inc. Class A Common Stock,BROS,23.28,2023-01-11
Beyond Meat Inc,BYND,39.79,2023-01-11
Celsius Holdings Inc,CELH,23.33,2023-01-11
ChargePoint Holdings Inc. Common Stock,CHPT,21.54,2023-01-11
Chewy Inc Class A,CHWY,24.34,2023-01-11
Cinemark Holdings Inc Cinemark Holdings Inc Comm,CNK,22.83,2023-01-11
Coinbase Global Inc. - Class A Common Stock,COIN,27.23,2023-01-11
Cowen Inc - Class A,COWN,31.39,2023-01-11
Comstock Resources Inc,CRK,20.88,2023-01-11
Camping World Holdings Inc Class A Commom Stock,CWH,23.9,2023-01-11
Desktop Metal Inc. Class A Common Stock,DM,27.56,2023-01-11
Design Therapeutics Inc. - Common Stock,DSGN,21.24,2023-01-11
Ebix Inc,EBIX,20.71,2023-01-11
EVgo Inc. - Common Stock,EVGO,36.7,2023-01-11
Fate Therapeutics Inc,FATE,24.45,2023-01-11
Faraday Future Intelligent Electric Inc. - Common Stock,FFIE,20.88,2023-01-11
Arcimoto Inc,FUV,22.0,2023-01-11
Geo Group Inc (the) Reit,GEO,20.76,2023-01-11
GlobalFoundries Inc. - Ordinary Share,GFS,21.35,2023-01-11
Canoo Inc. - Class A Common Stock,GOEV,26.94,2023-01-11
Canada Goose Holdings Inc. Subordinate Voting Shares,GOOS,20.46,2023-01-11
Gossamer Bio Inc,GOSS,37.95,2023-01-11
ESS Tech Inc. Common Stock,GWH,25.32,2023-01-11
Hci Group Inc,HCI,21.76,2023-01-11
Haverty Furniture Companies Inc,HVT,21.61,2023-01-11
Hyzon Motors Inc. - Class A Common Stock,HYZN,25.05,2023-01-11
ImmunityBio Inc. - Common Stock,IBRX,30.09,2023-01-11
Invacare Corporation,IVC,28.65,2023-01-11
Nordstrom Inc,JWN,22.87,2023-01-11
Kala Pharmaceuticals Inc,KALA,38.35,2023-01-11
Kura Sushi Usa Inc - Class A,KRUS,28.09,2023-01-11
Kymera Therapeutics Inc. - Common Stock,KYMR,20.53,2023-01-11
