Company Name,Symbol,Short % of Float,Price,Market Cap,Exchange,Sector,Industry,Record Date
Allogene Therapeutics Inc,ALLO,41.77,7.99,1130904600.0,NAS,Healthcare,Biotechnology,2023-01-11
Sunnova Energy International Inc,NOVA,23.58,18.64,2087120800.0,NY,Technology,Solar,2023-01-11
Petmed Express Inc,PETS,20.07,20.71,419791700.0,NAS,Healthcare,Pharmaceutical Retailers,2023-01-11
Childrens Place Inc (the,PLCE,20.59,40.53,594575100.0,NAS,Consumer Cyclical,Apparel Retail,2023-01-11
PMV Pharmaceuticals Inc. - Common Stock,PMVP,30.57,8.24,371047200.0,NAS,Healthcare,Biotechnology,2023-01-11
QuantumScape Corporation Class A Common Stock,QS,26.59,7.89,2048559600.0,NY,Consumer Cyclical,Auto Parts,2023-01-11
Reata Pharmaceuticals Inc - Class A,RETA,28.84,41.61,1305305700.0,NAS,Healthcare,Biotechnology,2023-01-11
Rocket Companies Inc. Class A Common Stock,RKT,33.81,8.98,1225500600.0,NY,Financial Services,Mortgage Finance,2023-01-11
Root Inc. - common stock,ROOT,21.17,5.26,457041400.0,NAS,Financial Services,Insurance - Property & Casualty,2023-01-11
Sonic Automotive Inc,SAH,30.26,49.6,1466672000.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-01-11
Cassava Sciences Inc,SAVA,22.13,27.49,1099874900.0,NAS,Healthcare,Biotechnology,2023-01-11
Silverbow Resorces Inc,SBOW,24.43,26.54,322195600.0,NY,Energy,Oil & Gas E&P,2023-01-11
Sirius XM Holdings Inc,SIRI,25.19,5.91,24171900000.0,NAS,Communication Services,Broadcasting,2023-01-11
Virgin Galactic Holdings Inc,SPCE,23.37,5.36,1290205600.0,NY,Industrials,Aerospace & Defense,2023-01-11
Seritage Growth Properties Class A,SRG,22.14,11.95,510982000.0,NY,Real Estate,REIT - Retail,2023-01-11
Springworks Therapeutics Inc,SWTX,25.58,30.22,1482593200.0,NAS,Healthcare,Biotechnology,2023-01-11
