Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Zoi,MSGM,"$2,948,565.36",$6.68,"441,402",Large Shareholder,2023-02-01,1,Purchase
Zoi,MSGM,"$999,999.85",$2.95,"338,983",Large Shareholder,2023-01-30,1,Purchase
Zizza,GCV.G,"$500,000.00",$10.00,"50,000",Director,2022-12-29,2,Purchase
Zinterhofer,LILA,"$586,747.50",$7.82,"75,000",Director,2023-03-16,2,Purchase
Zinterhofer,CHTR,"$943,325.00",$377.33,"2,500",Director,2022-11-01,3,Purchase
Zinterhofer,CHTR,"$1,205,312.00",$376.66,"3,200",Director,2022-11-01,3,Purchase
Zinterhofer,CHTR,"$1,296,018.88",$375.44,"3,452",Director,2022-11-01,3,Purchase
Zinterhofer,CHTR,"$579,602.16",$374.42,"1,548",Director,2022-11-01,3,Purchase
Zinterhofer,CHTR,"$4,058,830.62",$373.02,"10,881",Director,2022-11-01,3,Purchase
Zinterhofer,CHTR,"$1,229,589.49",$372.49,"3,301",Director,2022-11-01,3,Purchase
Zinterhofer,CHTR,"$861,926.40",$371.52,"2,320",Director,2022-11-01,3,Purchase
Ziemer,THO,"$748,545.84",$80.49,"9,300",Director,2022-04-05,2,Purchase
Zhou,PLAG,"$2,800,000.00",$0.56,"5,000,000","Large Shareholder, Officer, Director",2022-12-07,1,Purchase
Zhou,PLAG,"$1,416,800.00",$1.61,"880,000","Large Shareholder, Officer, Director",2022-07-27,1,Purchase
Zhou,PLAG,"$7,200,000.00",$1.50,"4,800,000","Large Shareholder, Officer, Director",2022-07-22,1,Purchase
Zhang,GLG,"$12,100,000.00",$1.21,"10,000,000",Large Shareholder,2023-01-30,2,Purchase
Zhang,GLG,"$11,500,000.00",$1.15,"10,000,000",Large Shareholder,2022-11-28,2,Purchase
Zhang,DISTU,"$5,450,000.00",$10.00,"545,000","Large Shareholder, Officer, Director",2023-02-17,1,Purchase
Zemlyak,SF,"$1,121,100.00",$56.06,"20,000",Officer,2023-03-24,2,Purchase
Zeitz,HOG,"$1,002,627.75",$38.94,"25,750","Officer, Director",2022-09-02,1,Purchase
Zax,KW,"$635,250.00",$18.15,"35,000",Director,2022-08-26,2,Purchase
Zauderer,VCNX,"$1,999,999.11",$1.11,"1,801,801","Officer, Director",2022-01-27,2,Purchase
Zaslav,WBD,"$996,500.00",$19.93,"50,000","Officer, Director",2022-04-27,2,Purchase
Zanganeh,SMMT,"$999,997.25",$0.97,"1,030,925","Officer, Director",2022-08-16,2,Purchase
Zanganeh,SMMT,"$4,455,963.69",$0.97,"4,593,777","Officer, Director",2022-08-16,2,Purchase
Zanganeh,SMMT,"$7,086,060.45",$1.05,"6,748,629","Officer, Director",2023-03-08,2,Purchase
Zanganeh,SMMT,"$17,617,335.75",$1.05,"16,778,415","Officer, Director",2023-03-08,2,Purchase
Zanganeh,SMMT,"$7,086,060.45",$1.05,"6,748,629","Officer, Director",2023-03-08,2,Purchase
Zanganeh,SMMT,"$844,905.60",$1.05,"804,672","Officer, Director",2023-03-08,2,Purchase
Zanganeh,SMMT,"$16,772,430.15",$1.05,"15,973,743","Officer, Director",2023-03-08,2,Purchase
Zage,GRND,"$660,000.00",$6.00,"110,000","Large Shareholder, Director",2022-12-16,1,Purchase
Yuan,TOST,"$921,689.28",$19.44,"47,412",Director,2023-05-15,2,Purchase
Yuan,TOST,"$1,606,113.36",$19.44,"82,619",Director,2023-05-15,2,Purchase
Yuan,TOST,"$3,480,411.82",$19.82,"175,601",Director,2023-05-12,2,Purchase
Yuan,TOST,"$6,064,820.90",$19.82,"305,995",Director,2023-05-12,2,Purchase
Yu,ALTI,"$696,008.37",$9.51,"73,187","Large Shareholder, Director",2023-01-11,1,Purchase
Young,RILY,"$589,752.00",$58.98,"10,000",Officer,2022-03-01,7,Purchase
Young,BTTR,"$1,000,000.00",$2.00,"500,000",Officer,2022-05-16,1,Purchase
Yee,PET,"$1,163,949.22",$2.03,"573,374",Director,2023-03-16,2,Purchase
Yee,PET,"$2,620,031.04",$2.64,"992,436",Director,2023-02-10,2,Purchase
